Nama,karbohidrat,protein,kalori,lemak,energi,lemak jenuh,kolestrol,serat,gula,sodium,kalium,kategori makanan,label
Kentang Goreng,35.66,3.48,274,14.06,1146,3.28,0,3.3,0.58,300,527,nabati,makanan energi
Mie,25.01,4.51,137,2.06,573,0.42,29,1.2,0.4,236,38,nabati,makanan energi
Nasi Putih,27.9,2.66,129,0.28,540,0.08,0,0.4,0.05,365,35,nabati,makanan energi
Roti Putih,50.61,7.64,266,3.29,1113,0.72,0,2.4,4.31,681,100,nabati,makanan energi
Donat Dilapisi Coklat,48,5,474,31,1983,8.11,61,2,23.37,429,196,campuran,makanan energi
Spageti,30.68,5.76,157,0.92,657,0.18,0,1.8,0.56,232,45,nabati,makanan energi
Pizza dengan Daging,31.45,12.09,301,13.8,1259,5.49,24,1.6,2.01,693,206,campuran,makanan energi
Roti Bakar,53.71,12.84,307,5.62,1283,0.84,0,6.4,4.02,372,330,nabati,makanan energi
Jasuke,39.72,5.02,197,2.47,824,1.38,8,1,24.55,128,180,nabati,makanan energi
Ayam Goreng,10.76,21.93,260,14.55,1090,8.96,57,1.4,0.26,350,323,hewani,makanan pembentuk otot
Martabak Manis,41.52,7.78,300,12.57,1257,5.24,73,2,22.47,250,185,nabati,makanan energi
Bubur Ayam,15.05,11.48,155,5.16,649,1.4,2.1,30,0.8,0.08,244,campuran,makanan energi
Nasi Uduk,20.52,2.54,163,8.09,680,7.06,0,1,1.14,198,110,nabati,makanan energi
Singkong Goreng,31.85,1.38,202,7.91,847,0.61,0,1.5,1.36,281,217,nabati,makanan energi
Gulai Kambing,6.44,4.71,125,9.6,525,5.52,12,1,3.1,163,173,hewani,makanan energi
Telur,0.77,12.58,147,9.94,615,3.1,423,0,0.77,140,134,hewani,makanan pembentuk otot
Kurma,75.03,2.45,282,0.39,1180,0.03,0,8,63.35,2,656,nabati,makanan energi
Es Krim,24.4,3.52,201,10.72,841,6.62,40,0.7,22.3,74,202,nabati,makanan ringan
Kacang Almond,19.74,21.26,578,50.64,2418,3.88,0,11.8,4.8,1,728,nabati,makanan pembentuk otot
Kentang Rebus,20.13,1.87,87,0.1,364,0.03,0,1.8,0.87,4,379,nabati,makanan energi
Alpukat,8.53,2,160,14.66,669,2.13,0,6.7,0.66,7,485,nabati,makanan low-fat
Pisang,22.84,1.09,89,0.33,372,0.11,0,2.6,12.23,1,358,nabati,makanan low-fat
Dendeng Sapi,11,33.2,410,25.6,1715,10.85,48,1.8,9,2213,597,hewani,makanan pembentuk otot
Keripik Kentang,49.74,6.56,547,37.47,2289,10.96,0,4.4,4.12,525,1642,nabati,makanan low-fat
Keripik Jagung Tawar,63.01,6.03,518,28.41,2167,3.61,0,5.3,1.16,616,135,nabati,makanan ringan
Keripik Jagung Tortilla,65.32,7.79,488,23.36,2042,2.46,0,5.3,1,421,215,nabati,makanan ringan
Keripik Kentang (Asin),49.74,6.56,547,37.47,2289,10.96,0,4.4,4.12,525,1642,nabati,makanan ringan
Keripik Kentang Bebas Lemak,83.76,9.64,379,0.6,1586,0.15,0,7.5,3.69,643,1628,nabati,makanan low-fat
Keripik Kentang Rasa Barbecue,52.8,7.7,491,32.4,2054,8.05,0,4.4,2.82,750,1261,nabati,makanan ringan
Keripik Kentang dengan Lemak yang Dikurangi,66.9,7.1,471,20.8,1971,4.16,0,5.9,0.22,492,1744,nabati,makanan ringan
Kerupuk / Biskuit,61,7.4,502,25.3,2100,3.78,0,1.6,1.79,847,133,nabati,makanan ringan
Kerupuk Asin,70.91,9.22,428,11.35,1791,1.66,0,3,0.38,1072,154,nabati,makanan ringan
Kerupuk Gandum,64.9,8.6,473,20.6,1979,5.18,0,4.5,13.04,795,183,nabati,makanan ringan
Biskuit Keju,58.2,10.1,503,25.3,2105,9.37,13,2.4,0.28,995,145,nabati,makanan ringan
Kue Beras Merah,81.5,8.2,387,2.8,1619,0.57,0,4.2,0.88,326,290,nabati,makanan ringan
Kue Beras Merah Multigrain,80.1,8.5,387,3.5,1619,0.56,0,3,23.84,252,294,nabati,makanan ringan
Permen Karet (tanpa Gula),94.8,0,268,0.4,1121,0.06,0,2.4,0,7,0,nabati,makanan low-fat
Permen Karet (Manis),66.08,0,247,0.3,1033,0.04,0,2.4,66.08,1,2,nabati,makanan ringan
Permen Karet,66.08,0,247,0.3,1033,0.04,0,2.4,66.08,1,2,nabati,makanan ringan
Popcorn,77.78,12.94,387,4.54,1619,0.64,0,14.5,0.87,8,329,nabati,makanan ringan
Popcorn Rasa Keju,51.6,9.3,526,33.2,2201,6.41,11,9.9,5.04,889,261,nabati,makanan ringan
Selai Kacang dan Sandwich Jeli,45.41,11.1,352,15.3,1473,3.15,0,3.1,13.02,519,239,nabati,makanan ringan
Sandwich Daging Sapi Panggang,19.13,19.74,251,9.92,1050,3.73,49,0.9,1.63,443,269,hewani,makanan pembentuk otot
Sandwich Ham dan Keju,22.84,14.17,241,10.6,1008,4.41,40,3.27,5.46,528,199,hewani,makanan pembentuk otot
Sandwich Keju,33.25,10.96,315,15.27,1318,6.48,27,1.5,4.76,884,153,hewani,makanan pembentuk otot
Sushi,29.9,4.3,143,0.42,598,0.09,3,0.8,6.27,596,129,hewani,makanan pembentuk otot
